	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep1	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep2	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep3
Apoa1	1.56481713	0.112900262	0.524163999	-0.102140026	-0.207061378	-0.464922492	-0.011297138	-0.006289413	0.181802255
Tagln	-0.229077948	-0.32008983	-0.699911428	0.132774233	0.211759833	-0.00453719	-1.895394957	-0.90836109	-1.18445736
Arcn1	-0.311148256	-0.017855185	-0.259650929	NA	-0.047338416	0.219091058	-0.088899037	-0.279178711	0.242206149
Phldb1	NA	-0.750930931	NA	NA	NA	NA	NA	NA	NA
Trappc4	0.433707277	0.156396617	NA	NA	-0.107057261	0.001730196	-0.229128678	0.106616329	0.31533436
Vps11	NA	NA	NA	NA	0.164142649	0.039699918	NA	NA	NA
Mcam	0.432638773	0.825134335	0.756169328	-0.148672712	-0.092417077	-0.010512172	0.984479982	0.227494651	0.368041931
Pin1	0.067501049	-0.24376234	0.152507948	-0.179204258	0.08827731	0.136191386	0.451118776	1.308127844	0.777535442
Slc44a2	-0.346664773	-0.600927368	0.548337976	-0.039088009	-0.122664081	-0.161056298	1.524364624	1.463517834	-1.036733047
Lysmd2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carm1	NA	NA	NA	NA	NA	0.023610215	NA	NA	NA
Aldh1a2	NA	NA	NA	NA	-0.960805444	-0.366819917	NA	NA	2.257433103
Nedd4	-0.350264992	-0.781752	-0.5910708	0.185739709	-0.010090792	0.071076162	-0.788813323	-0.039562428	0.45385994
Anxa2	0.351289098	0.228110634	0.034919984	-0.299293963	0.043484498	-0.127021562	-2.090987319	-0.992086918	-1.375384367
Tle1	-0.054227512	0.048096653	-0.093786668	NA	NA	-0.31954961	NA	-0.353837343	-0.606100602
Acsbg1	0.134352387	0.299010149	-0.318793641	NA	0.078746447	0.615510465	NA	-0.411387293	-0.725613087
Crabp1	-0.804702802	-1.127998689	-1.221757775	NA	NA	NA	-3.415499236	-2.784582323	-3.617197752
Pkm	0.12154595	-0.574239941	-0.628474592	0.443182267	0.077242999	-0.06996668	-1.09508051	-0.771914	-0.911804116
Man2c1	0.508428653	NA	NA	NA	NA	0.01948843	NA	NA	NA
Psma4	0.31254901	-0.521017844	0.252052275	-0.263559642	0.044184258	-0.470588812	-0.230312879	-0.80725033	-1.026440152
Mpi	0.34879896	0.048933645	-0.182049359	-0.426877579	0.056860943	-0.019682168	-1.398360527	0.987466402	0.82887526
Fbxo22	NA	NA	-0.61396164	NA	-0.350412131	-0.287025713	-1.145158539	-0.365908626	-0.864149965
Csk	-0.019082662	-0.25899475	-0.342524622	-0.053448786	0.411209283	0.299947954	-1.665019911	1.720672471	-3.351486698
Etfa	0.65718266	0.623866862	0.250355272	0.491596594	-0.144584307	0.011352507	2.995593056	3.092275105	-0.615287038
Gsta4	-0.125509898	-0.340038918	-0.601956153	0.35918379	-0.038569291	-0.137806522	-1.0971469	-0.858881157	-0.967927376
Gclc	-0.050547242	-0.568858465	-0.766970943	NA	-0.316582007	-0.190618485	-1.93743615	-1.542206114	-1.736484776
Fam195b	NA	NA	NA	NA	0.006333934	NA	NA	-0.484509565	-0.553637888
Ctsh	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snx1	-1.155855419	-1.86076628	-0.028292758	NA	-0.19005879	-0.028896104	-0.885686286	-1.633165851	-1.510539272
Ppib	-0.17198592	1.176131252	0.899485023	0.496717988	0.220949004	0.358621314	2.528221229	1.497331335	1.285934808
Dpp8	-0.027145626	-0.518618385	-0.181182154	-0.122774036	0.077106244	0.066261442	NA	-0.164221415	-0.016293123
Rpl4	-2.027439676	NA	NA	-0.584133189	-0.273465198	-1.805459024	2.367622677	4.406808748	NA
Atp1b3	-0.527241911	0.023752136	0.650121176	-0.172197231	0.119289768	-0.106979572	0.833335409	1.815329494	1.251991702
Me1	0.010779839	-0.734035093	-0.507439195	0.173894961	0.131589484	-0.187723587	-1.311112458	0.149259365	1.496922466
Nt5e	-0.910095132	-0.935172319	-0.16881996	NA	0.21685836	-0.002570285	NA	-1.693341117	-1.963869477
Cmtm6	NA	NA	NA	NA	NA	NA	NA	NA	1.110162762
Copb2	-0.209628303	-0.06833207	-0.331844559	0.082975027	0.052137623	0.14208663	-0.430042344	-0.197318728	-0.052416125
Faim	0.129480859	-0.117223935	-0.322090407	NA	-0.207611049	0.087734382	NA	-1.085159975	-0.715912342
Mras	-0.343933871	-0.252964992	-0.21124748	-0.409316549	0.299830762	-0.143070068	-0.731230274	1.169027045	1.481350613
Ngp	0.52476579	-0.007884192	0.138552375	0.242328116	0.047817548	0.097880434	-0.476116923	-0.901257065	-1.372692003
Ltf	0.687866939	0.631895859	-0.061209871	0.732659944	0.029700234	0.954494126	1.607436847	0.185105363	0.531867996
Pdcd6ip	0.30987466	-0.119134272	-0.316240675	-0.145924538	-0.095774117	-0.027763199	-0.801254418	-0.268590812	-0.210345858
Rpsa	0.251204023	0.434348001	0.228480098	-0.046921047	1.595551399	0.554441505	-0.788788398	-0.777912638	-0.70714759
Rab6b	-0.019433562	NA	NA	NA	NA	NA	NA	-1.967419514	NA
Trf	1.490518788	-0.188364569	0.146524891	NA	0.33330923	0.781317744	-2.364905012	-2.622465301	-2.431520316
1300017J02Rik	1.307137042	-0.232463842	-0.272157943	NA	NA	NA	NA	-0.369128617	-0.437506004
Uba5	0.162210036	0.154842407	-0.037251105	NA	0.064469017	-0.103983964	NA	-3.350206141	0.116231661
Dnajc13	-1.5262027	NA	NA	NA	NA	NA	NA	NA	NA
Nudt16	-0.227083991	-0.020720925	-0.623820768	0.037593076	-0.027498493	-0.108596368	-0.859404555	-0.512781222	-0.421592586
Uba7	-0.376002075	-0.36308542	-0.601036779	NA	-0.039725546	NA	NA	0.243912759	NA
Nckipsd	-0.033761511	0.134352387	-0.392515807	-0.308412237	-0.117787378	0.17951105	NA	-0.404763707	-0.157109643
Prkar2a	0.920903029	0.389897162	0.290778251	-0.129008029	0.565499693	0.089091319	NA	-1.915990178	-1.163170989
Usp11	NA	NA	NA	NA	-0.549345629	NA	NA	NA	NA
Dhx29	-0.993723522	NA	NA	NA	NA	NA	NA	NA	NA
Tln2	-0.474873255	0.149259365	-0.724945261	0.681584195	-0.032639538	-0.032639538	-0.473871077	-0.706511798	-0.508875488
Ntmt1	-0.039873851	-0.562772261	NA	NA	NA	NA	-1.655716877	0.627793583	NA
Hif1an	NA	NA	NA	NA	NA	-0.112661902	NA	NA	NA
Uba6	0.095856924	-0.167895836	-0.441203393	NA	0.814837498	-0.477361664	-2.053014679	-1.236673417	-1.238204128
Dync1li1	-0.715628011	-0.657285975	0.2083924	0.436908052	0.011781859	0.03562391	0.819095896	0.56481713	0.942007714
Kdm1a	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abca6	-0.797538395	-0.876572176	-1.158461566	NA	NA	NA	NA	NA	NA
Ccs	0.033088169	NA	-0.320161875	NA	-0.657513522	NA	NA	-1.867331038	NA
Fntb	0.096801582	0.166972472	-0.025735022	-0.755624366	-0.585799507	0.090582476	0.064882852	2.419161314	-0.061450726
Gmppa	-0.140300734	0.286171451	-0.556732846	NA	-0.311739059	0.295135249	-1.159009133	0.511164389	-0.43403245
Ccdc9	NA	NA	NA	NA	-0.174002766	0.199373961	NA	-0.702116021	NA
Sec23ip	0.218099174	NA	-0.300004256	NA	NA	NA	NA	NA	NA
Clvs2	NA	NA	NA	NA	0.037874166	NA	NA	NA	NA
Qsox1	2.055369212	NA	NA	NA	NA	NA	NA	-1.272018572	NA
Pygb	-0.34949276	-0.752777301	-0.879833883	0.341644241	-0.178208164	0.219091058	-0.760626401	-0.789137381	-0.58610268
Smap2	NA	NA	NA	NA	NA	0.239031363	NA	NA	-0.113410835
Sec24d	-0.693364446	NA	NA	NA	NA	NA	NA	NA	NA
Akap12	0.204140717	0.227124934	0.232660757	-0.031946122	-0.138870403	0.104739216	-0.532553563	-0.621266441	-0.354279899
Nploc4	-0.804450816	-1.039844189	0.030124161	-0.386110075	0.090311471	-0.038317409	-0.126879777	-1.203136489	-0.911994129
Cops8	0.048096653	0.074368422	0.015212085	-0.155164454	0.037030731	0.1696685	-0.214625219	0.065985829	0.28036249
Anpep	-0.107912118	-0.089912091	0.4089292	NA	0.231801023	0.017066724	-1.261396434	-0.873582133	-0.861526262
Gga1	0.182183769	-0.043185017	0.176195095	NA	NA	0.524063676	NA	-0.638725722	-0.647241475
Pgm5	NA	NA	NA	NA	0.388134419	NA	NA	NA	NA
Reep2	NA	NA	NA	NA	-0.224334152	0.009777122	NA	0.569782712	1.156396617
Ipo9	0.065434446	-0.027028023	-0.264477823	NA	NA	NA	NA	NA	-2.142671848
Cmtm5	-0.608100332	-0.182818827	0.375400929	-0.528906207	-0.195748146	0.232292362	0.409689628	1.307253642	0.619741659
Amdhd2	1.418783639	-0.061616338	-0.141732484	NA	-0.087258173	0.133563526	-0.882677314	-0.486448617	0.109828565
Pi4ka	-0.404687311	-0.258666772	-0.476116923	NA	NA	NA	NA	NA	-0.561771033
Myo6	-1.254771275	NA	NA	NA	NA	NA	NA	NA	NA
Chmp4c	0.08120326	-0.189104518	0.203764966	-0.390944811	-0.265119163	0.126047755	-0.474692812	2.333595473	3.912937226
Ndrg4	NA	2.424519044	NA	NA	NA	NA	NA	NA	NA
Abi3bp	-0.19741798	0.291249913	-0.195516836	NA	NA	NA	NA	-2.286726499	-2.014324708
Skiv2l	-0.625867492	NA	NA	NA	NA	NA	NA	NA	NA
Cct2	-0.280948018	0.5627675	0.106616329	-0.316546074	-0.878878474	-0.458703242	0.390007262	0.192320435	0.775008388
Lpp	0.197362184	-0.105892363	-0.184440965	NA	-0.012751907	0.128293401	NA	-0.795683966	-0.765302491
Abca9	-1.109825723	-1.513419478	-1.007956724	NA	0.068051643	0.60814687	-1.569993122	NA	-0.50860864
Ldha	0.611738957	-0.030796083	-0.255063933	0.029700234	-0.337940373	-0.202123739	-1.21380514	0.146264195	0.029982866
Prkab1	NA	0.004321606	0.191436315	-0.162024474	0.190172345	0.120882733	-0.031842876	1.363956004	2.569564003
Ctnnal1	-0.169047028	-0.04048206	0.302289802	0.085560625	-0.235942651	0.489953901	1.321293169	0.791022195	0.700706037
D15Ertd621e	NA	0.169411952	NA	NA	-0.171482149	0.185105363	NA	NA	NA
Trappc5	NA	-0.195996019	0.208017755	NA	-0.258269847	0.249141903	-0.324292444	-0.184965683	0.057970069
Ipo4	-0.083232935	-0.142417045	-0.334316172	NA	0.330099418	0.064606975	NA	NA	-2.99585101
Dock5	-0.72203905	NA	NA	NA	NA	NA	NA	NA	NA
Gmds	-0.745841371	0.274768566	-0.781256024	NA	NA	NA	-0.977383621	-1.084976336	-0.876466228
Irgq	0.39988201	1.004249685	-0.212082818	NA	0.253263199	0.050745464	NA	-2.288135106	-2.427789407
Gak	0.028003278	NA	NA	NA	NA	NA	NA	NA	NA
C1qc	NA	NA	NA	0.998195503	-0.388525418	-0.707336027	2.430151436	1.530570204	NA
Tom1	-0.039191775	0.314058409	0.081612323	NA	-0.626758278	0.220701417	-0.655103346	-1.054721922	-0.385261891
Tbc1d10a	NA	NA	NA	NA	NA	NA	NA	-0.810004699	-2.537926735
Abcf1	-0.461104311	0.010923027	0.039699918	NA	-0.10008194	-0.043244479	NA	NA	NA
Gmppb	-0.082682825	0.202135581	-0.325322418	NA	0.384270893	0.019630756	-1.137584317	-1.521266292	-1.116848429
H2afz	0.069564695	0.100304906	NA	NA	-0.055246481	-0.12669075	NA	0.543396896	0.088955682
S100a10	-0.377894282	0.203389117	0.076422275	0.215989154	0.496411216	-0.640838705	-2.195483795	-0.294897931	-1.532950117
Clstn1	NA	1.595264942	0.363002823	NA	0.418567779	-0.084150252	NA	NA	NA
Mvk	-0.074228393	0.486868801	0.202386375	0.222062625	1.466183346	-0.038332225	-0.186245483	-1.022800686	-0.940395526
Hspb8	0.318924164	-0.280212003	0.380618638	-0.162541101	0.058801354	-0.045386764	1.777829977	2.183804079	2.37125217
Fgg	2.152605293	0.781905211	1.117761525	0.646439186	0.416299305	0.685177684	0.255682003	0.709378871	0.787265283
Camk1d	NA	-0.026131615	-0.381178745	NA	-0.568558893	-0.028601757	-1.764248436	-0.896200257	-0.744994854
Fam63b	0.327572404	0.432531879	0.365580566	NA	-0.219135609	0.0614306	NA	-0.108767481	-0.042219094
Fkbp1a	-0.040838204	0.226138561	0.014783753	0.389236386	-0.1231668	-0.123842606	-1.417694503	-0.529447517	-0.906520952
Git1	-0.64140119	-1.035727066	-0.351663416	NA	-0.14286298	-0.121360968	-0.201095115	-0.853683662	-0.775045979
Hnrnpul1	0.213378391	0.102859658	0.115965432	NA	NA	0.09963185	NA	-0.039221423	0.532965216
Sntb2	-0.534871817	-0.459080005	-0.402702441	NA	NA	-0.44359511	NA	0.104605043	NA
Acaa2	-2.363270987	0.755827619	0.536251879	0.577730931	0.162596766	0.037311931	2.050536524	1.832525498	1.428999926
Fbxo2	0.038436182	0.469990138	0.275364696	-0.306555418	1.401685072	-0.162944844	-1.069482158	-0.259460951	-0.644171814
Phpt1	-0.232735057	-0.062233785	-0.815605437	NA	0.058662839	-0.082942573	NA	-0.883954695	-1.091479119
Mars	NA	NA	NA	NA	NA	0.085016673	NA	NA	-0.049277783
Npl	0.378067649	NA	-0.544750383	NA	0.224534263	0.203890227	NA	NA	NA
Zfand1	NA	NA	NA	NA	NA	NA	NA	-0.277796308	NA
Ehbp1	-0.343750774	0.100304906	-0.657581794	NA	NA	NA	NA	NA	NA
Tiprl	0.337996464	-0.199553553	-0.411675132	NA	0.524364624	-0.08882232	-1.561366478	-1.949031701	-1.421669882
Ltbp4	-0.152708583	0.157561176	0.057831475	NA	NA	-0.407210508	NA	NA	NA
Kctd12b	NA	NA	NA	-0.203485305	0.913033	0.788602195	NA	NA	NA
Mon2	-0.183539553	-0.036703449	-0.383642303	NA	NA	NA	NA	NA	NA
Tmed10	NA	-0.024384487	NA	NA	-0.041684399	NA	NA	NA	NA
Snrpd2	0.113300436	0.30439422	0.273217473	0.210513552	0.508530069	0.531069493	0.134483822	0.718262977	0.298423712
Fbl	-0.93412443	NA	NA	0.115033243	0.190425227	-0.432220936	NA	NA	NA
Thyn1	-0.293571119	0.83737816	0.509138416	0.381947801	0.184216808	0.122076304	1.561790462	0.98469871	1.084608575
Crocc	NA	-2.055531322	NA	NA	0.430820497	-0.431987358	NA	0.70017335	NA
Fgf2	NA	NA	NA	NA	-0.234889638	-0.370806603	NA	NA	NA
Tgfbi	0.150039693	-1.693014552	0.375067242	0.356707253	-0.049024026	0.028569152	-0.651450291	-1.551691045	-1.22941618
Myo1d	NA	NA	NA	NA	-0.446836129	-0.309877955	NA	NA	NA
Fermt3	0.870187146	0.822526219	1.224040274	0.143393419	0.260748328	0.144829521	2.394376945	1.75433169	1.59062597
Cdk6	-0.608166305	-1.437056703	-0.627137029	NA	-0.495694874	-0.134239515	NA	1.339308445	NA
Uggt1	0.021053252	NA	NA	NA	NA	NA	NA	NA	NA
Ube2q1	NA	NA	-0.246190112	NA	NA	NA	NA	NA	NA
Zfp91	NA	NA	NA	NA	NA	-0.041283508	NA	NA	1.279055216
Trim36	NA	NA	NA	NA	NA	0.387362541	NA	NA	NA
Lrg1	NA	0.314406508	0.569879906	NA	NA	-0.472809528	NA	-4.71512583	NA
Fn3krp	-0.121596383	0.141301988	-0.115112983	-0.386072367	-0.215010315	-0.009219362	3.750606505	-3.471096674	-0.425578736
Ccdc92	0.476226133	0.597888675	0.897627674	-0.241116962	0.831796189	0.178619043	NA	2.748847617	-1.674199144
Dhx9	-1.146563181	-1.677887252	0.126840735	0.552672171	-1.102744082	1.60245688	-0.716789382	-1.406024821	-0.889075558
Rcc2	-0.235042447	-0.548079422	-1.623576246	NA	-0.071618306	0.067776372	1.057484931	0.496308945	0.831390858
Necab1	-1.721325304	-0.323804819	NA	NA	NA	NA	NA	NA	NA
Poglut1	NA	NA	NA	NA	0.004465437	-0.245027007	NA	NA	NA
Pip5k1b	-0.246053228	-0.520583163	0.002018361	NA	0.02219024	0.094100916	-0.294579385	-0.011326219	-0.050995553
Rps29	NA	-0.455831181	0.046560906	-0.022873972	-0.283017882	-0.470988689	NA	0.163885117	0.590434352
Copg2	-0.315773719	-0.189005836	-0.253102534	0.20451637	-0.456088443	0.425459305	-0.553426147	-0.663602344	0.454491777
Gas7	-0.254358211	1.075737982	0.124195772	-0.08082012	0.774333758	0.052415894	-1.570978642	-0.582447192	-1.166340754
AW549877	0.206768235	-0.282228177	-0.255838904	NA	NA	NA	NA	NA	NA
Atg12	-0.31050402	-0.145828766	NA	NA	NA	NA	NA	NA	NA
Cplx2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ccdc50	-0.081583233	-0.039117655	-0.115159859	NA	1.334110568	0.596839754	NA	1.010708239	-2.589268151
Pdxk	0.156267163	-0.283298771	-0.376713703	-0.053373931	0.132905812	-0.024399159	-1.972109923	1.820158535	-0.952852525
Azgp1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ccbl1	NA	NA	NA	NA	0.469885976	NA	NA	NA	NA
Wipi1	NA	NA	0.225891862	NA	-0.729459098	NA	NA	NA	NA
Alkbh3	NA	NA	NA	-0.071239326	0.069014678	0.011066201	NA	1.16690822	1.171975377
Skp1a	0.013497992	0.288653864	0.334797075	-0.321351132	0.021053252	-0.250354183	-0.176739772	0.505992524	0.226261894
Abhd14b	-0.142894837	-0.243147497	-0.455811393	0.096396804	0.050188223	-0.156948784	-1.36501649	-0.68466564	-0.902065645
Tbca	-0.055696255	0.299244658	-0.265257869	NA	0.207018226	-0.165580022	NA	-0.359934417	-0.795984523
Ube2r2	NA	NA	NA	NA	0.569102173	NA	-1.406713166	-3.362810823	-0.06259534
Eif3l	-0.405546996	-0.327565606	0.033511102	NA	-0.233532047	0.630312271	0.246225649	0.381283373	2.558561532
Tssc1	-0.008754815	0.645240513	0.054779032	-0.274319911	0.192194165	0.140909507	1.002882509	1.812991019	0.156267163
Cspg4	-0.060773422	-0.622198802	-0.174702815	0.450591032	-0.007971231	-0.068634636	-1.443085067	-1.117474327	-1.052087026
Sepw1	NA	NA	NA	NA	NA	NA	NA	-1.108923056	NA
Gm11273	NA	NA	NA	NA	NA	NA	NA	NA	NA
Naa25	-0.593332726	0.140124224	-0.057106456	0.175811994	-0.033392345	0.333996118	3.256014271	2.309292623	2.709621491
Fam21	0.134089481	-0.039503117	-0.370750639	NA	NA	NA	NA	NA	-0.595249437
Ppp1ca	0.386148755	0.445726703	0.306028869	0.174534255	0.034356597	0.092478087	0.670296504	-2.885766256	-2.698997744
Serbp1	-0.432493492	0.607957565	0.774502445	-0.008958036	0.508834274	0.155231116	1.450854928	0.451646328	1.033722522
Akr1b10	-0.404610919	NA	-0.745526892	NA	0.132642643	0.078473209	NA	-1.460806441	-1.44108587
Arhgap44	-0.3207744	NA	-0.481666298	NA	0.275364696	-0.24109991	NA	0.854873369	0.763496561
Hspb6	1.299010149	NA	NA	NA	1.563646269	-0.919042233	NA	0.226631832	1.182946495
Snx2	-1.419507153	-1.473049811	-0.035032165	0.07751647	-0.059885883	0.136978812	-2.032801875	-2.146754829	-1.210896782
Oard1	NA	NA	0.227864273	NA	0.345282818	-0.21750756	0.011781859	1.141498188	1.036890111
Mios	NA	NA	NA	NA	NA	-0.442045923	NA	NA	NA
Mpp2	-0.334516267	0.150949541	0.238175419	0.047398789	-0.295977971	-0.055561308	1.125122061	1.124328135	1.264416327
Diap2	-1.539184058	0.159629186	-0.293270545	NA	-0.475033668	0.953227984	0.675635301	-0.156836193	0.181038924
Ppl	-2.906818463	NA	NA	NA	NA	NA	NA	NA	NA
Ptprf	0.161823203	0.86203474	0.935384311	NA	NA	-0.357954663	NA	NA	NA
Exoc3	NA	NA	NA	NA	0.310340121	0.416407409	NA	NA	NA
Sox10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fgb	1.986520157	0.835358201	1.135140816	0.065848003	0.068051643	0.118492626	1.505077915	1.716727565	1.104605043
Ankmy2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arglu1	NA	1.210014738	NA	NA	0.341188772	0.546956178	NA	NA	1.939640329
Macrod1	NA	NA	NA	NA	NA	NA	NA	3.628656962	-1.830280196
Brsk1	-0.354169247	NA	NA	NA	-0.112365556	-0.278321115	NA	1.236462004	0.854474471
Tmem109	NA	NA	NA	NA	0.287708686	0.253263199	NA	NA	-0.106622256
Pkn2	-0.825158985	0.038155201	NA	NA	NA	NA	NA	NA	NA
Ptpn23	0.270110276	-0.256045634	-0.911397032	NA	NA	NA	NA	NA	NA
Atp4a	-0.21784309	0.227987459	0.313710226	-0.277149308	0.19105724	-0.109405446	0.98469871	1.412293771	1.22002033
Actr1a	-0.560834342	0.578407414	0.539630325	-0.190585556	0.014069583	0.039559557	0.489440176	1.192509819	1.4760187
Arhgef11	NA	NA	NA	-0.248313486	-0.594878965	NA	NA	NA	NA
Fam65a	NA	0.188021051	NA	NA	NA	NA	NA	NA	NA
Lman1	NA	NA	NA	NA	-0.268868905	0.512783121	NA	NA	NA
Fhl3	0.469885976	0.298306396	0.226755123	-0.343439562	0.114500293	0.261470639	NA	0.898711418	-2.737446573
Thsd7a	NA	NA	0.55875743	NA	-0.218514384	NA	NA	NA	0.536948088
Rap1gap2	NA	NA	NA	NA	-0.128061752	-0.314678763	NA	0.090040415	-0.131186827
Ubac1	0.294076649	0.456806149	-0.038272964	NA	0.339593501	0.280006078	NA	1.326134626	3.006872474
Lap3	0.057276965	0.016638942	-0.193502706	-0.666759477	1.800620391	-0.450320973	-1.342012509	-1.844976182	-0.878401006
1700066M21Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA
Akr1b8	NA	NA	-0.573123404	NA	NA	NA	NA	NA	NA
C1qb	-0.39166385	0.233151803	0.467801156	0.596553553	0.178619043	-0.050502419	2.257674467	1.455333797	1.059978188
Ppp2r2d	NA	NA	NA	NA	0.689746438	NA	NA	NA	NA
Ankrd44	0.671836829	NA	NA	NA	-0.116113346	NA	NA	NA	NA
Pcsk1n	NA	1.235053032	NA	NA	NA	NA	NA	NA	NA
Vwa1	-1.001703385	-0.610279015	-0.166049362	0.456280482	-0.034322825	-0.249547848	1.366979584	3.351769652	1.993312058
Stub1	0.173255383	0.027295624	0.244765308	-0.200829783	0.090988888	-0.111056127	NA	-0.794307217	-1.059314536
Kng1	1.132050336	0.161694235	-0.023064532	NA	NA	0.683920981	-3.205829543	-1.959822959	-1.440420086
Arhgef10l	0.025454096	NA	NA	NA	NA	NA	NA	NA	NA
Galm	-0.075094407	-0.363920662	-1.12481758	NA	-1.242259852	-0.035948913	-1.809094418	-1.908334012	-2.785079444
Palm	0.125386605	0.313478058	0.799336025	-0.125446946	0.012783185	0.00273852	NA	1.095181789	0.61060558
Phlda3	-0.507993024	0.175556536	0.140255134	NA	0.164657575	-0.178175517	NA	0.676989478	0.378400642
Atp6v1h	0.096801582	-0.06996668	0.079838881	0.132379425	0.206393169	0.202511756	-1.228029932	-2.086752489	-0.881879525
Ttc1	-1.711984063	0.2282338	-0.168382143	-0.632226378	-0.085818205	-0.204914671	-1.134730445	-0.452648888	-0.279476363
Rnf123	0.015354834	-0.390434132	NA	NA	NA	NA	NA	NA	NA
Lum	0.411209283	0.809167457	0.260627908	0.258820397	0.044044333	0.038997979	0.156784908	-0.542584316	-0.365406732
Obfc1	NA	NA	NA	NA	NA	-0.31692342	NA	NA	NA
H2-Ab1	NA	NA	NA	NA	-0.363642194	0.158207748	NA	0.200504353	0.265796925
Serpinb6a	-0.340513795	-0.116770211	-0.316815597	-0.387222895	-0.551373874	0.09369538	-1.540442479	-1.054991672	-0.999826887
Lsm1	NA	NA	-0.043482354	NA	NA	NA	NA	-0.070966521	-0.47104868
Wdr18	NA	NA	NA	NA	NA	1.769729431	NA	NA	NA
Negr1	NA	-1.388204397	NA	NA	NA	NA	1.565694652	NA	NA
Mif	-0.002411315	0.164142649	-0.156578877	-0.137885889	-0.008377481	-0.335881293	-1.635091445	-0.474191698	-1.174360888
Psmf1	0.247076832	-0.005840293	-0.341610263	-1.318793641	-1.274913275	-0.697756998	-1.197930891	-1.465061888	-0.688822429
Igsf8	NA	0.484086559	0.769602498	NA	-0.106560123	-0.0983202	NA	1.101717302	NA
Map2k4	0.225645121	-0.296580312	-0.186458893	-0.375571523	0.252778952	-0.016176402	-0.477341579	0.84052366	1.875780063
Sntb1	-0.062806289	0.109962253	0.308826824	0.426962448	0.083111227	-0.321819897	1.251264629	1.86155842	2.119522185
Sgtb	0.128557365	0.222433641	-0.226425577	-0.658947896	0.082838815	0.026870865	-0.188528969	0.448372395	-4.257183175
Ina	0.347892388	-0.169030808	0.568907674	-0.121188354	0.159629186	-0.148896631	1.429535626	2.059424503	1.631569968
Shtn1	NA	NA	NA	NA	NA	NA	NA	NA	-0.932443883
Naa30	NA	NA	0.101112158	NA	NA	NA	NA	NA	NA
Clic4	-0.346389616	0.177981556	-0.401882571	0.180911663	-0.093140182	-0.050263384	-1.621976756	-3.913759724	-3.097640805
Wdr45	-0.060081396	-0.265864863	-0.256959043	-0.377706824	-0.007826169	0.38327574	NA	-0.207361172	2.856647129
Mag	-0.016512002	0.468635446	0.773574423	-0.02519172	0.017636903	0.10701825	1.793105148	0.897782545	1.024886999
Eif1	NA	NA	NA	-0.752412699	NA	0.861479018	0.974676144	1.437387556	NA
Slc7a5	NA	NA	NA	NA	-0.406273352	-0.430236727	NA	NA	NA
Wwp1	NA	NA	NA	NA	0.24610401	NA	NA	NA	NA
Brk1	-0.039236248	0.305445279	0.092883966	NA	NA	-1.518783737	NA	-0.782818926	-1.546835401
Commd10	NA	0.14182513	NA	NA	NA	NA	NA	NA	NA
Rpl21	-2.546835401	NA	-0.629791072	-0.249101984	-0.2826493	-0.225193968	0.020626651	0.118226814	-0.198195691
Arl5b	NA	0.094506339	-0.07258895	NA	NA	NA	NA	0.043624477	-0.421843814
Elac1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coro2b	NA	NA	NA	NA	0.727789789	0.183454754	NA	2.72759377	-0.75095521
Txndc5	-0.101907764	1.127963378	0.373174891	-0.05991596	0.492314685	0.504264441	1.257915791	2.127005885	NA
Dnajc17	-0.247165791	0.648373402	NA	-0.282421176	0.462471189	0.039559557	NA	2.940599024	3.589763487
Rab8b	0.003602237	0.422125333	0.511771626	-0.180119311	-0.329159664	0.319617934	0.555521697	0.452384576	0.738032794
Cbl	0.264116022	NA	NA	NA	NA	0.082157559	NA	NA	NA
F11r	-0.181100369	0.374288339	NA	NA	NA	NA	NA	-2.118413684	NA
Psmd7	0.354564999	0.545474211	0.497126915	-0.512081524	2.527320608	0.337768171	-0.577142684	-0.260756747	0.341530387
Ifi47	-0.356587074	-0.792307016	-0.740528638	NA	0.036749476	-0.026543012	-0.77420683	0.929033479	-1.484348095
Nagk	0.157949154	0.070389328	-0.241884475	-0.143117861	-0.131518671	-0.044255717	-0.296403127	1.223113589	-0.34980528
Rab3gap1	0.499884146	-0.231718264	-0.235653845	NA	NA	NA	NA	NA	NA
Vps25	0.122208862	0.396049858	0.251082803	-0.012737352	-0.154971685	0.024177814	0.133826527	0.39802195	0.617204432
Serpina3k	1.276973019	-0.199752372	-0.038939785	-0.633344868	0.02644598	-0.688450384	-2.648462125	-2.629500897	-3.413069083
